source_degree_centrality,target_degree_centrality,pref_attach,aai,jacard_coeff,res_all,overl_title,temp_diff,comm_author,sim
0.007055893746541228,0.0015218594355285002,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07825399561973194
0.026701715550636412,0.005534034311012728,7680.0,5.6321751703525225,0.11538461538461539,0.37508960678346154,2.0,1.0,0.0,0.17407330246720226
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.1387337780979731
0.0053956834532374095,0.006779192030990592,1911.0,5.239889023962416,0.31343283582089554,0.39156435382432914,1.0,0.0,0.0,0.11987034949302523
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3044927909209074
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0311960418324516
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01399626325560449
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.1344283013678569
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1846060061003148
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.26217332276187755
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12403233313902498
0.0031820697288323183,0.07470946319867183,12420.0,3.111772195347373,0.021778584392014518,0.28396594516696877,1.0,2.0,0.0,0.06330490650699656
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18351506450286326
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.08933666531090195
0.0015218594355285002,0.004427227448810182,352.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.13329731773729003
0.004427227448810182,0.018123962368566685,4192.0,3.072983539031596,0.09395973154362416,0.18506035218671893,0.0,0.0,0.0,0.022170647694892166
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.04111529354293835
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0923781925286593
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0
0.0029053680132816824,0.0041505257332595455,630.0,4.393028082331472,0.4166666666666667,0.5734754057744088,3.0,2.0,0.0,0.13014430783958905
0.007055893746541228,0.006502490315439955,2397.0,3.3288597707212224,0.18072289156626506,0.18439165078620035,4.0,0.0,0.0,0.08651074713876122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.00800404329340913
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.09124771262188686
0.007609297177642501,0.009407858328721638,3672.0,6.4633749664405595,0.25773195876288657,0.556656021995956,1.0,0.0,0.0,0.29490878898411604
0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.1025810017647216
0.0016602102933038184,0.0011068068622025456,88.0,0.0,0.0,0.0,0.0,2.0,0.0,0.026422228360780193
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0369519584468536
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.01811870771301781
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.003293313434380507
0.0026286662977310455,0.009407858328721638,1292.0,1.487115973884204,0.10126582278481013,0.046386062700108824,0.0,1.0,0.0,0.12489113996216408
0.0011068068622025456,0.004703929164360819,264.0,1.0673179415816458,0.1388888888888889,0.05077598843406806,0.0,1.0,0.0,0.35735340293721957
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.026449346748767706
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.011866693879491921
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.13980839395587769
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.01735055326365481
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.217492045986873
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.09928328194003887
0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.06514973668541653
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.020102907147508328
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.04134364155812212
0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,0.0,0.03914682504229704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.02834980588888321
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0454720208299544
0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.21446101564153225
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.06156120767413999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.009678732772886512
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06755887477720682
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.09134634581881479
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.32227829465952945
0.008301051466519091,0.0053956834532374095,2340.0,3.336603487883651,0.16470588235294117,0.26000169946596036,0.0,0.0,0.0,0.04401013854554156
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.036428447000145026
0.0020752628666297727,0.00926950747094632,1005.0,1.1681456895380231,0.05128205128205128,0.1324710519832471,0.0,2.0,0.0,0.05585723020641605
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.020537868643478636
0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.3575576552790845
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.18907133074955276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.043447178118255124
0.004012174875484228,0.008992805755395683,1885.0,1.993700669270718,0.09302325581395349,0.2079916338785909,0.0,3.0,0.0,0.07744113445499679
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.07031540548515547
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.051915660330874816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.09443506033804958
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.171535574966611
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1145745300175618
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.032081363692114964
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.08361245777932075
0.007055893746541228,0.011759822910902046,4335.0,4.9165885892151735,0.1623931623931624,0.4564924383869038,2.0,1.0,0.0,0.18574160529255718
0.0015218594355285002,0.08259546209186497,6556.0,0.5388723786984746,0.003305785123966942,0.052500000000000005,0.0,1.0,0.0,0.022266375309075735
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0511322114000565
0.006779192030990592,0.00926950747094632,3283.0,1.518968418985315,0.06422018348623854,0.08088571829187657,0.0,3.0,0.0,0.007953901827882252
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.03987223658989181
0.004565578306585501,0.01618705035971223,3744.0,6.969797192168625,0.22131147540983606,0.6406763921459588,2.0,0.0,0.0,0.11694061865203254
0.007055893746541228,0.010099612617598229,3723.0,3.0448622872568474,0.12727272727272726,0.17400294218588463,0.0,1.0,0.0,0.08672844095776068
0.0031820697288323183,0.003458771444382955,575.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03821408335805017
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.057759652170924
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3080789548914427
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.005801348393692124
0.0026286662977310455,0.0029053680132816824,399.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.015945535136962643
0.013281682346430547,0.008024349750968456,5568.0,8.394871118265996,0.29411764705882354,0.6146395600143282,1.0,0.0,0.0,0.25552507587125717
0.00691754288876591,0.0012451577199778638,450.0,0.9803403408523996,0.05357142857142857,0.14468864468864467,2.0,0.0,0.0,0.15587169229559528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10317304642267865
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.1032181827434038
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.019998027283952665
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.016807784469903476
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.1335439088612054
0.009822910902047592,0.004288876591034864,2170.0,0.13418491641387487,0.01,0.000580046403712297,0.0,0.0,0.0,0.03344917567842598
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.003770861321329015
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06993945413479245
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1861430125444413
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.12368892007698826
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.040937966052772556
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.024481630275401484
0.0011068068622025456,0.00996126175982291,568.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.03661889436760083
0.009131156613171001,0.0023519645821804096,1056.0,1.6001914350839122,0.07894736842105263,0.15375913044643696,1.0,1.0,0.0,0.052141289230420745
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.02429567850810886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.016666254927212007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07649159353698781
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.15941582476309726
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.04030962123388644
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.08924350616044822
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.019717994655348077
